Treatment_number,replicate_number,planting_date,crop_ident_ICASA,cultivar_name,plant_pop_at_planting,plant_pop_at_emergence,row_spacing,row_direction,planting_depth
TRTNO,RP,PDATE,CRID,CUL_NAME,PLPOP,PLPOE,PLRS,PLRD,PLDP
1,1,2011-12-13,WHT,soissons,340,,8.4,,2
2,1,2011-12-13,WHT,soissons,340,,8.4,,2
3,1,2011-12-13,WHT,soissons,340,,8.4,,2
4,1,2011-12-13,WHT,soissons,340,,8.4,,2
5,1,2011-12-13,WHT,soissons,340,,8.4,,2
6,1,2011-12-13,WHT,soissons,340,,8.4,,2
7,1,2011-12-13,WHT,soissons,340,,8.4,,2
8,1,2011-12-13,WHT,soissons,340,,8.4,,2
9,1,2011-12-13,WHT,soissons,340,,8.4,,2
10,1,2011-12-13,WHT,soissons,340,,8.4,,2
11,1,2011-12-13,WHT,soissons,340,,8.4,,2
12,1,2011-12-13,WHT,soissons,340,,8.4,,2
13,1,2011-12-13,WHT,soissons,340,,8.4,,2
14,1,2011-12-13,WHT,soissons,340,,8.4,,2
15,1,2011-12-13,WHT,soissons,340,,8.4,,2
16,1,2011-12-13,WHT,soissons,340,,8.4,,2
17,1,2011-12-13,WHT,soissons,340,,8.4,,2
18,1,2011-12-13,WHT,soissons,340,,8.4,,2
19,1,2011-12-13,WHT,soissons,340,,8.4,,2
20,1,2011-12-13,WHT,soissons,340,,8.4,,2
21,1,2011-12-13,WHT,soissons,340,,8.4,,2
22,1,2011-12-13,WHT,soissons,340,,8.4,,2
23,1,2011-12-13,WHT,soissons,340,,8.4,,2
24,1,2011-12-13,WHT,soissons,340,,8.4,,2
25,1,2011-12-13,WHT,soissons,340,,8.4,,2
26,1,2011-12-13,WHT,soissons,340,,8.4,,2
27,1,2011-12-13,WHT,soissons,340,,8.4,,2
28,1,2011-12-13,WHT,soissons,340,,8.4,,2
29,1,2011-12-13,WHT,soissons,340,,8.4,,2
30,1,2011-12-13,WHT,soissons,340,,8.4,,2
31,1,2011-12-13,WHT,soissons,340,,8.4,,2
32,1,2011-12-13,WHT,soissons,340,,8.4,,2
33,1,2011-12-13,WHT,soissons,340,,8.4,,2
34,1,2011-12-13,WHT,soissons,340,,8.4,,2
35,1,2011-12-13,WHT,soissons,340,,8.4,,2
36,1,2011-12-13,WHT,soissons,340,,8.4,,2
37,1,2011-12-13,WHT,soissons,340,,8.4,,2
38,1,2011-12-13,WHT,soissons,340,,8.4,,2
39,1,2011-12-13,WHT,soissons,340,,8.4,,2
40,1,2011-12-13,WHT,soissons,340,,8.4,,2
41,1,2011-12-13,WHT,soissons,340,,8.4,,2
42,1,2011-12-13,WHT,soissons,340,,8.4,,2
